question,intent,topic,chapter,verse,answer
How to maintain high focus during work and reading?,focus,focus,2,41,"In this path, the resolute intellect is one-pointed and single-minded; but the thoughts of the irresolute are many-branched and endless."
How to avoid distractions and stay locked on my goal?,focus,focus,2,41,"In this path, the resolute intellect is one-pointed and single-minded; but the thoughts of the irresolute are many-branched and endless."
How to develop laser focus like Arjuna looking at the bird's eye?,focus,focus,2,41,"In this path, the resolute intellect is one-pointed and single-minded; but the thoughts of the irresolute are many-branched and endless."
Concentration techniques in Bhagavad Gita.,focus,focus,2,41,"In this path, the resolute intellect is one-pointed and single-minded; but the thoughts of the irresolute are many-branched and endless."
How can I gain mastery over my senses?,self_control,self_control,2,58,"When, like the tortoise which withdraws its limbs from all sides, a person withdraws senses from the sense-objects, one's wisdom is firmly established."
How to resist addictions and temptations?,self_control,self_control,2,58,"When, like the tortoise which withdraws its limbs from all sides, a person withdraws senses from the sense-objects, one's wisdom is firmly established."
What is the metaphor of the tortoise withdrawing its limbs?,self_control,self_control,2,58,"When, like the tortoise which withdraws its limbs from all sides, a person withdraws senses from the sense-objects, one's wisdom is firmly established."
How can I stop my desires from controlling me?,self_control,self_control,2,58,"When, like the tortoise which withdraws its limbs from all sides, a person withdraws senses from the sense-objects, one's wisdom is firmly established."
How to build strong emotional and sensory self-control?,self_control,self_control,2,58,"When, like the tortoise which withdraws its limbs from all sides, a person withdraws senses from the sense-objects, one's wisdom is firmly established."
Why is sensory indulgence leading to mental weakness?,self_control,self_control,2,58,"When, like the tortoise which withdraws its limbs from all sides, a person withdraws senses from the sense-objects, one's wisdom is firmly established."
How to overcome compulsive habits through self-restraint?,self_control,self_control,2,58,"When, like the tortoise which withdraws its limbs from all sides, a person withdraws senses from the sense-objects, one's wisdom is firmly established."
How to govern impulses and bodily cravings?,self_control,self_control,2,58,"When, like the tortoise which withdraws its limbs from all sides, a person withdraws senses from the sense-objects, one's wisdom is firmly established."
How to practice Indriya Nigraha (sense control)?,self_control,self_control,2,58,"When, like the tortoise which withdraws its limbs from all sides, a person withdraws senses from the sense-objects, one's wisdom is firmly established."
I give in to bad temptations too easily; how to build self-restraint?,self_control,self_control,2,58,"When, like the tortoise which withdraws its limbs from all sides, a person withdraws senses from the sense-objects, one's wisdom is firmly established."
How can I overcome toxic attachment to outcomes?,attachment,attachment,2,48,"Perform action, O Dhananjaya, being steadfast in yoga, abandoning attachment, and balanced in success and failure. Equanimity is called yoga."
Why does emotional attachment cause so much suffering?,attachment,attachment,2,48,"Perform action, O Dhananjaya, being steadfast in yoga, abandoning attachment, and balanced in success and failure. Equanimity is called yoga."
How to love someone without suffocating attachment?,attachment,attachment,2,48,"Perform action, O Dhananjaya, being steadfast in yoga, abandoning attachment, and balanced in success and failure. Equanimity is called yoga."
How to work with passion while remaining detached from results?,attachment,attachment,2,48,"Perform action, O Dhananjaya, being steadfast in yoga, abandoning attachment, and balanced in success and failure. Equanimity is called yoga."
What is the difference between caring and unhealthy attachment?,attachment,attachment,2,48,"Perform action, O Dhananjaya, being steadfast in yoga, abandoning attachment, and balanced in success and failure. Equanimity is called yoga."
How to let go of people who have moved on?,attachment,attachment,2,48,"Perform action, O Dhananjaya, being steadfast in yoga, abandoning attachment, and balanced in success and failure. Equanimity is called yoga."
Why does attachment to results create misery?,attachment,attachment,2,48,"Perform action, O Dhananjaya, being steadfast in yoga, abandoning attachment, and balanced in success and failure. Equanimity is called yoga."
How to practice non-attachment in everyday activities?,attachment,attachment,2,48,"Perform action, O Dhananjaya, being steadfast in yoga, abandoning attachment, and balanced in success and failure. Equanimity is called yoga."
Emotional clinging is ruining my peace of mind.,attachment,attachment,2,48,"Perform action, O Dhananjaya, being steadfast in yoga, abandoning attachment, and balanced in success and failure. Equanimity is called yoga."
How to be free from worldly attachments?,attachment,attachment,2,48,"Perform action, O Dhananjaya, being steadfast in yoga, abandoning attachment, and balanced in success and failure. Equanimity is called yoga."
Why are desires endless and never satisfied?,desire,desire,3,37,"It is lust, it is anger, born of the quality of Rajas (passion), all-devouring, all-sinful; know this to be the enemy here in this world."
"How to overcome lust, greed, and burning cravings?",desire,desire,3,37,"It is lust, it is anger, born of the quality of Rajas (passion), all-devouring, all-sinful; know this to be the enemy here in this world."
Why does one desire lead to another without satisfaction?,desire,desire,3,37,"It is lust, it is anger, born of the quality of Rajas (passion), all-devouring, all-sinful; know this to be the enemy here in this world."
What does Krishna call the all-devouring enemy of humanity?,desire,desire,3,37,"It is lust, it is anger, born of the quality of Rajas (passion), all-devouring, all-sinful; know this to be the enemy here in this world."
How to distinguish between healthy aspirations and destructive cravings?,desire,desire,3,37,"It is lust, it is anger, born of the quality of Rajas (passion), all-devouring, all-sinful; know this to be the enemy here in this world."
How to conquer selfish cravings that destroy peace?,desire,desire,3,37,"It is lust, it is anger, born of the quality of Rajas (passion), all-devouring, all-sinful; know this to be the enemy here in this world."
Desire is like fire that never gets satisfied by fuel.,desire,desire,3,37,"It is lust, it is anger, born of the quality of Rajas (passion), all-devouring, all-sinful; know this to be the enemy here in this world."
How to overcome sensual lust and greedy desires?,desire,desire,3,37,"It is lust, it is anger, born of the quality of Rajas (passion), all-devouring, all-sinful; know this to be the enemy here in this world."
How can I overcome overwhelming grief?,grief,grief,2,11,"You have grieved for those that should not be grieved for, yet you speak words of wisdom. The wise grieve neither for the living nor for the dead."
I am in deep mourning over the loss of my loved one.,grief,grief,2,11,"You have grieved for those that should not be grieved for, yet you speak words of wisdom. The wise grieve neither for the living nor for the dead."
Why do the wise not grieve for the living or the dead?,grief,grief,2,11,"You have grieved for those that should not be grieved for, yet you speak words of wisdom. The wise grieve neither for the living nor for the dead."
How to find solace when grief consumes my heart?,grief,grief,2,11,"You have grieved for those that should not be grieved for, yet you speak words of wisdom. The wise grieve neither for the living nor for the dead."
How does the understanding of the eternal soul heal sorrow?,grief,grief,2,11,"You have grieved for those that should not be grieved for, yet you speak words of wisdom. The wise grieve neither for the living nor for the dead."
I feel an unbearable void after the passing of a family member.,grief,grief,2,11,"You have grieved for those that should not be grieved for, yet you speak words of wisdom. The wise grieve neither for the living nor for the dead."
Crying constantly after bereavement and tragedy.,grief,grief,2,11,"You have grieved for those that should not be grieved for, yet you speak words of wisdom. The wise grieve neither for the living nor for the dead."
How to heal a grieving heart according to the Gita?,grief,grief,2,11,"You have grieved for those that should not be grieved for, yet you speak words of wisdom. The wise grieve neither for the living nor for the dead."
Grief and sorrow are making life feel meaningless.,grief,grief,2,11,"You have grieved for those that should not be grieved for, yet you speak words of wisdom. The wise grieve neither for the living nor for the dead."
How can I maintain harmony in difficult relationships?,relationships,relationships,6,32,"He who, by comparison with himself, sees the same everywhere, O Arjuna, whether it be pleasure or pain, he is considered the highest yogi."
How to treat family members and friends with true empathy?,relationships,relationships,6,32,"He who, by comparison with himself, sees the same everywhere, O Arjuna, whether it be pleasure or pain, he is considered the highest yogi."
What does the Gita teach about dealing with misunderstandings with people?,relationships,relationships,6,32,"He who, by comparison with himself, sees the same everywhere, O Arjuna, whether it be pleasure or pain, he is considered the highest yogi."
How can seeing the Divine in everyone transform my relationships?,relationships,relationships,6,32,"He who, by comparison with himself, sees the same everywhere, O Arjuna, whether it be pleasure or pain, he is considered the highest yogi."
How to resolve conflicts with compassion rather than resentment?,relationships,relationships,6,32,"He who, by comparison with himself, sees the same everywhere, O Arjuna, whether it be pleasure or pain, he is considered the highest yogi."
How to deal with difficult in-laws or relatives peacefully?,relationships,relationships,6,32,"He who, by comparison with himself, sees the same everywhere, O Arjuna, whether it be pleasure or pain, he is considered the highest yogi."
How to cultivate pure love and trust in marriage and friendship?,relationships,relationships,6,32,"He who, by comparison with himself, sees the same everywhere, O Arjuna, whether it be pleasure or pain, he is considered the highest yogi."
Relationship issues with parents and siblings.,relationships,relationships,6,32,"He who, by comparison with himself, sees the same everywhere, O Arjuna, whether it be pleasure or pain, he is considered the highest yogi."
How do I deal with heartbreak?,heartbreak,heartbreak,2,14,"The contacts of senses with objects, O son of Kunti, which cause heat and cold, pleasure and pain, have a beginning and an end; they are impermanent; endure them, O Bharata."
How can I overcome heartbreak?,heartbreak,heartbreak,2,14,"The contacts of senses with objects, O son of Kunti, which cause heat and cold, pleasure and pain, have a beginning and an end; they are impermanent; endure them, O Bharata."
I am in deep pain after a painful breakup.,heartbreak,heartbreak,2,14,"The contacts of senses with objects, O son of Kunti, which cause heat and cold, pleasure and pain, have a beginning and an end; they are impermanent; endure them, O Bharata."
I feel shattered because the person I loved left me.,heartbreak,heartbreak,2,14,"The contacts of senses with objects, O son of Kunti, which cause heat and cold, pleasure and pain, have a beginning and an end; they are impermanent; endure them, O Bharata."
How to stop crying over someone who broke my trust?,heartbreak,heartbreak,2,14,"The contacts of senses with objects, O son of Kunti, which cause heat and cold, pleasure and pain, have a beginning and an end; they are impermanent; endure them, O Bharata."
My heart feels so heavy and empty after separation.,heartbreak,heartbreak,2,14,"The contacts of senses with objects, O son of Kunti, which cause heat and cold, pleasure and pain, have a beginning and an end; they are impermanent; endure them, O Bharata."
How to let go of an ex-partner who moved on?,heartbreak,heartbreak,2,14,"The contacts of senses with objects, O son of Kunti, which cause heat and cold, pleasure and pain, have a beginning and an end; they are impermanent; endure them, O Bharata."
How to heal from unrequited love and emotional rejection?,heartbreak,heartbreak,2,14,"The contacts of senses with objects, O son of Kunti, which cause heat and cold, pleasure and pain, have a beginning and an end; they are impermanent; endure them, O Bharata."
Dealing with heartbreak and loneliness after a broken engagement.,heartbreak,heartbreak,2,14,"The contacts of senses with objects, O son of Kunti, which cause heat and cold, pleasure and pain, have a beginning and an end; they are impermanent; endure them, O Bharata."
The pain of heartbreak is tearing me apart.,heartbreak,heartbreak,2,14,"The contacts of senses with objects, O son of Kunti, which cause heat and cold, pleasure and pain, have a beginning and an end; they are impermanent; endure them, O Bharata."
I don't know what to do with my career.,career,career,3,35,"Better is one's own duty, though devoid of merit, than the duty of another well performed. Death in one's own duty is better; the duty of another is fraught with fear."
How do I choose the right career path?,career,career,3,35,"Better is one's own duty, though devoid of merit, than the duty of another well performed. Death in one's own duty is better; the duty of another is fraught with fear."
Should I do a job for high money or follow my natural talents?,career,career,3,35,"Better is one's own duty, though devoid of merit, than the duty of another well performed. Death in one's own duty is better; the duty of another is fraught with fear."
How does Swadharma apply to modern profession and jobs?,career,career,3,35,"Better is one's own duty, though devoid of merit, than the duty of another well performed. Death in one's own duty is better; the duty of another is fraught with fear."
I feel stuck in a toxic job and want career guidance.,career,career,3,35,"Better is one's own duty, though devoid of merit, than the duty of another well performed. Death in one's own duty is better; the duty of another is fraught with fear."
How to align my profession with my spiritual values?,career,career,3,35,"Better is one's own duty, though devoid of merit, than the duty of another well performed. Death in one's own duty is better; the duty of another is fraught with fear."
What should I consider when changing careers or fields?,career,career,3,35,"Better is one's own duty, though devoid of merit, than the duty of another well performed. Death in one's own duty is better; the duty of another is fraught with fear."
Career crossroads and choosing between jobs.,career,career,3,35,"Better is one's own duty, though devoid of merit, than the duty of another well performed. Death in one's own duty is better; the duty of another is fraught with fear."
I am dissatisfied with my work and need career direction.,career,career,3,35,"Better is one's own duty, though devoid of merit, than the duty of another well performed. Death in one's own duty is better; the duty of another is fraught with fear."
How should I make difficult decisions?,decision_making,decision_making,18,63,"Thus has wisdom, more secret than secrecy itself, been declared to you by Me; having reflected over it fully, act as you wish."
I am paralyzed by over-analyzing choices.,decision_making,decision_making,18,63,"Thus has wisdom, more secret than secrecy itself, been declared to you by Me; having reflected over it fully, act as you wish."
How to gain clear judgment before a major life decision?,decision_making,decision_making,18,63,"Thus has wisdom, more secret than secrecy itself, been declared to you by Me; having reflected over it fully, act as you wish."
"What does Krishna mean when he says 'reflect fully, then act as you wish'?",decision_making,decision_making,18,63,"Thus has wisdom, more secret than secrecy itself, been declared to you by Me; having reflected over it fully, act as you wish."
How to avoid regret after making hard decisions?,decision_making,decision_making,18,63,"Thus has wisdom, more secret than secrecy itself, been declared to you by Me; having reflected over it fully, act as you wish."
How to make rational decisions without emotional bias?,decision_making,decision_making,18,63,"Thus has wisdom, more secret than secrecy itself, been declared to you by Me; having reflected over it fully, act as you wish."
Making decisions between duty and personal desire.,decision_making,decision_making,18,63,"Thus has wisdom, more secret than secrecy itself, been declared to you by Me; having reflected over it fully, act as you wish."
How to make life-changing decisions with wisdom and peace?,decision_making,decision_making,18,63,"Thus has wisdom, more secret than secrecy itself, been declared to you by Me; having reflected over it fully, act as you wish."
How to handle leadership and family responsibilities?,responsibility,responsibility,3,21,"Whatever a great person does, that other people also do; whatever standard one sets, the world follows."
Why is leading by personal example the highest responsibility?,responsibility,responsibility,3,21,"Whatever a great person does, that other people also do; whatever standard one sets, the world follows."
I feel burdened by expectations from others.,responsibility,responsibility,3,21,"Whatever a great person does, that other people also do; whatever standard one sets, the world follows."
What does the Gita teach about setting an honorable example?,responsibility,responsibility,3,21,"Whatever a great person does, that other people also do; whatever standard one sets, the world follows."
How to take ownership of mistakes with accountability?,responsibility,responsibility,3,21,"Whatever a great person does, that other people also do; whatever standard one sets, the world follows."
"Being a responsible parent, leader, or citizen.",responsibility,responsibility,3,21,"Whatever a great person does, that other people also do; whatever standard one sets, the world follows."
How to carry heavy obligations without feeling overwhelmed?,responsibility,responsibility,3,21,"Whatever a great person does, that other people also do; whatever standard one sets, the world follows."
How do I stop feeling jealous of other people's success?,jealousy,jealousy,12,13,"He who hates no creature, who is friendly and compassionate to all, who is free from attachment and egoism, balanced in pleasure and pain, and forgiving."
Envy is poisoning my mind when I see others doing better.,jealousy,jealousy,12,13,"He who hates no creature, who is friendly and compassionate to all, who is free from attachment and egoism, balanced in pleasure and pain, and forgiving."
How to overcome comparison and jealousy?,jealousy,jealousy,12,13,"He who hates no creature, who is friendly and compassionate to all, who is free from attachment and egoism, balanced in pleasure and pain, and forgiving."
Why do I feel insecure when friends achieve milestones?,jealousy,jealousy,12,13,"He who hates no creature, who is friendly and compassionate to all, who is free from attachment and egoism, balanced in pleasure and pain, and forgiving."
How does the Gita teach us to celebrate others instead of envying them?,jealousy,jealousy,12,13,"He who hates no creature, who is friendly and compassionate to all, who is free from attachment and egoism, balanced in pleasure and pain, and forgiving."
How to stop comparing my life with people on social media?,jealousy,jealousy,12,13,"He who hates no creature, who is friendly and compassionate to all, who is free from attachment and egoism, balanced in pleasure and pain, and forgiving."
Jealousy in workplace and peer competition.,jealousy,jealousy,12,13,"He who hates no creature, who is friendly and compassionate to all, who is free from attachment and egoism, balanced in pleasure and pain, and forgiving."
How to eradicate jealousy and celebrate others' prosperity?,jealousy,jealousy,12,13,"He who hates no creature, who is friendly and compassionate to all, who is free from attachment and egoism, balanced in pleasure and pain, and forgiving."
How can I reduce my ego and arrogance?,ego,ego,3,27,All actions are wrought in all cases by the qualities of Nature only. He whose mind is deluded by egoism thinks: 'I am the doer.'
My pride is getting in the way of my learning and relationships.,ego,ego,3,27,All actions are wrought in all cases by the qualities of Nature only. He whose mind is deluded by egoism thinks: 'I am the doer.'
What does the Gita say about the illusion of ego?,ego,ego,3,27,All actions are wrought in all cases by the qualities of Nature only. He whose mind is deluded by egoism thinks: 'I am the doer.'
How to cultivate genuine humility in a competitive world?,ego,ego,3,27,All actions are wrought in all cases by the qualities of Nature only. He whose mind is deluded by egoism thinks: 'I am the doer.'
Why is the ego considered the greatest barrier to wisdom?,ego,ego,3,27,All actions are wrought in all cases by the qualities of Nature only. He whose mind is deluded by egoism thinks: 'I am the doer.'
How to realize that I am not the sole doer of everything?,ego,ego,3,27,All actions are wrought in all cases by the qualities of Nature only. He whose mind is deluded by egoism thinks: 'I am the doer.'
Ahamkara and false sense of supremacy in the Gita.,ego,ego,3,27,All actions are wrought in all cases by the qualities of Nature only. He whose mind is deluded by egoism thinks: 'I am the doer.'
How to drop arrogance and pride in accomplishments?,ego,ego,3,27,All actions are wrought in all cases by the qualities of Nature only. He whose mind is deluded by egoism thinks: 'I am the doer.'
How can I find true inner peace?,peace,peace,2,66,There is no wisdom for the unsteady; nor is there meditation for the unsteady; to the unmeditative there is no peace; and how can there be happiness for the peaceless?
Where can I find peace of mind in this noisy world?,peace,peace,2,66,There is no wisdom for the unsteady; nor is there meditation for the unsteady; to the unmeditative there is no peace; and how can there be happiness for the peaceless?
How to live a calm and serene life according to Gita?,peace,peace,2,66,There is no wisdom for the unsteady; nor is there meditation for the unsteady; to the unmeditative there is no peace; and how can there be happiness for the peaceless?
Can money buy peace of mind?,peace,peace,2,66,There is no wisdom for the unsteady; nor is there meditation for the unsteady; to the unmeditative there is no peace; and how can there be happiness for the peaceless?
What is the secret to lasting happiness and tranquility?,peace,peace,2,66,There is no wisdom for the unsteady; nor is there meditation for the unsteady; to the unmeditative there is no peace; and how can there be happiness for the peaceless?
How to achieve peace when my external environment is chaotic?,peace,peace,2,66,There is no wisdom for the unsteady; nor is there meditation for the unsteady; to the unmeditative there is no peace; and how can there be happiness for the peaceless?
Finding mental serenity and peace in daily life.,peace,peace,2,66,There is no wisdom for the unsteady; nor is there meditation for the unsteady; to the unmeditative there is no peace; and how can there be happiness for the peaceless?
What is Shanti and how to attain it?,peace,peace,2,66,There is no wisdom for the unsteady; nor is there meditation for the unsteady; to the unmeditative there is no peace; and how can there be happiness for the peaceless?
How should I meditate according to the Bhagavad Gita?,meditation,meditation,6,11-12,"In a clean spot, having established a firm seat of his own, neither too high nor too low... there, having made the mind one-pointed, let him practice Yoga for the purification of the self."
What is the proper way to practice meditation in Dhyana Yoga?,meditation,meditation,6,11-12,"In a clean spot, having established a firm seat of his own, neither too high nor too low... there, having made the mind one-pointed, let him practice Yoga for the purification of the self."
How to sit and breathe during meditation?,meditation,meditation,6,11-12,"In a clean spot, having established a firm seat of his own, neither too high nor too low... there, having made the mind one-pointed, let him practice Yoga for the purification of the self."
What should I focus on while meditating?,meditation,meditation,6,11-12,"In a clean spot, having established a firm seat of his own, neither too high nor too low... there, having made the mind one-pointed, let him practice Yoga for the purification of the self."
How does meditation purify the inner self?,meditation,meditation,6,11-12,"In a clean spot, having established a firm seat of his own, neither too high nor too low... there, having made the mind one-pointed, let him practice Yoga for the purification of the self."
What is the Dhyana Yoga method for stilling the breath?,meditation,meditation,6,11-12,"In a clean spot, having established a firm seat of his own, neither too high nor too low... there, having made the mind one-pointed, let him practice Yoga for the purification of the self."
How to meditate on the Divine inside the lotus of the heart?,meditation,meditation,6,11-12,"In a clean spot, having established a firm seat of his own, neither too high nor too low... there, having made the mind one-pointed, let him practice Yoga for the purification of the self."
Meditation techniques taught by Lord Krishna.,meditation,meditation,6,11-12,"In a clean spot, having established a firm seat of his own, neither too high nor too low... there, having made the mind one-pointed, let him practice Yoga for the purification of the self."
How can I focus my restless mind?,mind_control,mind_control,6,34-35,"The mind is indeed restless, turbulent, strong, and unyielding, O Krishna! But by practice (Abhyasa) and dispassion (Vairagya), O son of Kunti, it is controlled."
I cannot concentrate because my mind keeps wandering.,mind_control,mind_control,6,34-35,"The mind is indeed restless, turbulent, strong, and unyielding, O Krishna! But by practice (Abhyasa) and dispassion (Vairagya), O son of Kunti, it is controlled."
How can I control my wandering and restless mind?,mind_control,mind_control,6,34-35,"The mind is indeed restless, turbulent, strong, and unyielding, O Krishna! But by practice (Abhyasa) and dispassion (Vairagya), O son of Kunti, it is controlled."
The mind feels impossible to control like turbulent wind.,mind_control,mind_control,6,34-35,"The mind is indeed restless, turbulent, strong, and unyielding, O Krishna! But by practice (Abhyasa) and dispassion (Vairagya), O son of Kunti, it is controlled."
What is Abhyasa and Vairagya in mind control?,mind_control,mind_control,6,34-35,"The mind is indeed restless, turbulent, strong, and unyielding, O Krishna! But by practice (Abhyasa) and dispassion (Vairagya), O son of Kunti, it is controlled."
How to stop intrusive thoughts from hijacking my day?,mind_control,mind_control,6,34-35,"The mind is indeed restless, turbulent, strong, and unyielding, O Krishna! But by practice (Abhyasa) and dispassion (Vairagya), O son of Kunti, it is controlled."
Why is mastering the mind the greatest victory in life?,mind_control,mind_control,6,34-35,"The mind is indeed restless, turbulent, strong, and unyielding, O Krishna! But by practice (Abhyasa) and dispassion (Vairagya), O son of Kunti, it is controlled."
How to tame an unruly and overthinking intellect?,mind_control,mind_control,6,34-35,"The mind is indeed restless, turbulent, strong, and unyielding, O Krishna! But by practice (Abhyasa) and dispassion (Vairagya), O son of Kunti, it is controlled."
Controlling restless mind and constant thought chatter.,mind_control,mind_control,6,34-35,"The mind is indeed restless, turbulent, strong, and unyielding, O Krishna! But by practice (Abhyasa) and dispassion (Vairagya), O son of Kunti, it is controlled."
How to train the subconscious mind through repetition?,mind_control,mind_control,6,34-35,"The mind is indeed restless, turbulent, strong, and unyielding, O Krishna! But by practice (Abhyasa) and dispassion (Vairagya), O son of Kunti, it is controlled."
What is the highest knowledge in the Gita?,knowledge,knowledge,4,38,"Verily, there is no purifier in this world like knowledge. He that is perfected in Yoga finds it in himself in the fullness of time."
Why is spiritual knowledge called the greatest purifier?,knowledge,knowledge,4,38,"Verily, there is no purifier in this world like knowledge. He that is perfected in Yoga finds it in himself in the fullness of time."
How to attain true wisdom rather than superficial information?,knowledge,knowledge,4,38,"Verily, there is no purifier in this world like knowledge. He that is perfected in Yoga finds it in himself in the fullness of time."
How does knowledge destroy doubts and karmic bonds?,knowledge,knowledge,4,38,"Verily, there is no purifier in this world like knowledge. He that is perfected in Yoga finds it in himself in the fullness of time."
What is Jnana Yoga and how does it enlighten the mind?,knowledge,knowledge,4,38,"Verily, there is no purifier in this world like knowledge. He that is perfected in Yoga finds it in himself in the fullness of time."
How does spiritual wisdom liberate the soul from ignorance?,knowledge,knowledge,4,38,"Verily, there is no purifier in this world like knowledge. He that is perfected in Yoga finds it in himself in the fullness of time."
The difference between bookish knowledge and Self-realization.,knowledge,knowledge,4,38,"Verily, there is no purifier in this world like knowledge. He that is perfected in Yoga finds it in himself in the fullness of time."
What is true devotion (Bhakti) according to the Gita?,devotion,devotion,9,26,"Whoever offers Me with devotion a leaf, a flower, a fruit, or even water, that I accept, offered as it is with devotion by the pure-minded."
How can I love and connect with God with a simple heart?,devotion,devotion,9,26,"Whoever offers Me with devotion a leaf, a flower, a fruit, or even water, that I accept, offered as it is with devotion by the pure-minded."
"What does Krishna mean by offering a leaf, flower, fruit, or water?",devotion,devotion,9,26,"Whoever offers Me with devotion a leaf, a flower, a fruit, or even water, that I accept, offered as it is with devotion by the pure-minded."
How does devotion bring peace to everyday life?,devotion,devotion,9,26,"Whoever offers Me with devotion a leaf, a flower, a fruit, or even water, that I accept, offered as it is with devotion by the pure-minded."
How to cultivate pure love for the Divine in Bhakti Yoga?,devotion,devotion,9,26,"Whoever offers Me with devotion a leaf, a flower, a fruit, or even water, that I accept, offered as it is with devotion by the pure-minded."
What are the nine forms of Bhakti (devotion)?,devotion,devotion,9,26,"Whoever offers Me with devotion a leaf, a flower, a fruit, or even water, that I accept, offered as it is with devotion by the pure-minded."
How to surrender unconditionally to God in love?,devotion,devotion,9,26,"Whoever offers Me with devotion a leaf, a flower, a fruit, or even water, that I accept, offered as it is with devotion by the pure-minded."
What is the law of Karma?,karma,karma,4,18,"He who sees inaction in action and action in inaction, he is wise among men; he is a yogi and performer of all actions."
How can I perform my work without accumulating karmic baggage?,karma,karma,4,18,"He who sees inaction in action and action in inaction, he is wise among men; he is a yogi and performer of all actions."
What does it mean to see inaction in action?,karma,karma,4,18,"He who sees inaction in action and action in inaction, he is wise among men; he is a yogi and performer of all actions."
How to turn daily work into an act of worship and selfless service?,karma,karma,4,18,"He who sees inaction in action and action in inaction, he is wise among men; he is a yogi and performer of all actions."
What is Nishkama Karma and how to practice it?,karma,karma,4,18,"He who sees inaction in action and action in inaction, he is wise among men; he is a yogi and performer of all actions."
How do past karmas affect our present destiny?,karma,karma,4,18,"He who sees inaction in action and action in inaction, he is wise among men; he is a yogi and performer of all actions."
How does selfless action lead to liberation?,karma,karma,4,18,"He who sees inaction in action and action in inaction, he is wise among men; he is a yogi and performer of all actions."
How to live in the world like a lotus leaf on water?,detachment,detachment,5,10,"He who performs actions, offering them to Brahman, abandoning attachment, is not tainted by sin, just as a lotus leaf is not tainted by water."
What is true detachment (Vairagya)?,detachment,detachment,5,10,"He who performs actions, offering them to Brahman, abandoning attachment, is not tainted by sin, just as a lotus leaf is not tainted by water."
Does detachment mean abandoning my family and duties?,detachment,detachment,5,10,"He who performs actions, offering them to Brahman, abandoning attachment, is not tainted by sin, just as a lotus leaf is not tainted by water."
How to work passionately without emotional attachment to outcomes?,detachment,detachment,5,10,"He who performs actions, offering them to Brahman, abandoning attachment, is not tainted by sin, just as a lotus leaf is not tainted by water."
How to be in the world but not of the world?,detachment,detachment,5,10,"He who performs actions, offering them to Brahman, abandoning attachment, is not tainted by sin, just as a lotus leaf is not tainted by water."
Practicing holy detachment in the midst of worldly chaos.,detachment,detachment,5,10,"He who performs actions, offering them to Brahman, abandoning attachment, is not tainted by sin, just as a lotus leaf is not tainted by water."
What happens after death according to the Bhagavad Gita?,death,death,2,20,"It is not born, nor does it ever die; nor, having once been, does it cease to be. It is unborn, eternal, ever-existing, and primeval. It is not slain when the body is slain."
I am terrified of dying. How can I overcome fear of death?,death,death,2,20,"It is not born, nor does it ever die; nor, having once been, does it cease to be. It is unborn, eternal, ever-existing, and primeval. It is not slain when the body is slain."
Is the soul really eternal and indestructible?,death,death,2,20,"It is not born, nor does it ever die; nor, having once been, does it cease to be. It is unborn, eternal, ever-existing, and primeval. It is not slain when the body is slain."
Why does physical death happen to loved ones?,death,death,2,20,"It is not born, nor does it ever die; nor, having once been, does it cease to be. It is unborn, eternal, ever-existing, and primeval. It is not slain when the body is slain."
How does the metaphor of changing clothes explain reincarnation?,death,death,2,20,"It is not born, nor does it ever die; nor, having once been, does it cease to be. It is unborn, eternal, ever-existing, and primeval. It is not slain when the body is slain."
What happens to the soul when the physical body dies?,death,death,2,20,"It is not born, nor does it ever die; nor, having once been, does it cease to be. It is unborn, eternal, ever-existing, and primeval. It is not slain when the body is slain."
"Understanding mortality, rebirth, and eternal Atman.",death,death,2,20,"It is not born, nor does it ever die; nor, having once been, does it cease to be. It is unborn, eternal, ever-existing, and primeval. It is not slain when the body is slain."
What is the ultimate purpose of human life?,purpose,purpose,15,15,"And I am seated in the hearts of all; from Me come memory, knowledge, and their absence. By all the Vedas, I alone am to be known; I am the author of the Vedanta, and the knower of the Vedas."
Why was I born on this earth?,purpose,purpose,15,15,"And I am seated in the hearts of all; from Me come memory, knowledge, and their absence. By all the Vedas, I alone am to be known; I am the author of the Vedanta, and the knower of the Vedas."
How can I discover my life's higher calling?,purpose,purpose,15,15,"And I am seated in the hearts of all; from Me come memory, knowledge, and their absence. By all the Vedas, I alone am to be known; I am the author of the Vedanta, and the knower of the Vedas."
What is the highest goal according to the Bhagavad Gita?,purpose,purpose,15,15,"And I am seated in the hearts of all; from Me come memory, knowledge, and their absence. By all the Vedas, I alone am to be known; I am the author of the Vedanta, and the knower of the Vedas."
"How to live a life full of meaning, virtue, and fulfillment?",purpose,purpose,15,15,"And I am seated in the hearts of all; from Me come memory, knowledge, and their absence. By all the Vedas, I alone am to be known; I am the author of the Vedanta, and the knower of the Vedas."
What is the supreme goal of human existence?,purpose,purpose,15,15,"And I am seated in the hearts of all; from Me come memory, knowledge, and their absence. By all the Vedas, I alone am to be known; I am the author of the Vedanta, and the knower of the Vedas."
How to align daily existence with cosmic purpose?,purpose,purpose,15,15,"And I am seated in the hearts of all; from Me come memory, knowledge, and their absence. By all the Vedas, I alone am to be known; I am the author of the Vedanta, and the knower of the Vedas."
Tell me about the weather.,out_of_domain,"general, out_of_scope",0,0,"I’m designed to provide guidance based on the Bhagavad Gita. Please ask me a question related to life, decisions, emotions, duty, relationships, or other topics that can be explored through its teachings."
