chapter,chapter_title,verse,shlok,transliteration,translation,index
4,Jñāna Karm Sanyās Yog,4.32,एवं बहुविधा यज्ञा वितता ब्रह्मणो मुखे |\nकर्मजान्विद्धि तान्सर्वानेवं ज्ञात्वा विमोक्ष्यसे ||४-३२||,evaṃ bahuvidhā yajñā vitatā brahmaṇo mukhe .\nkarmajānviddhi tānsarvānevaṃ jñātvā vimokṣyase ||4-32||,All these different kinds of sacrifice have been described in the Vedas. Know them as originating from different types of work; this understanding cuts the knots of material bondage.,178
4,Jñāna Karm Sanyās Yog,4.33,श्रेयान्द्रव्यमयाद्यज्ञाज्ज्ञानयज्ञः परन्तप |\nसर्वं कर्माखिलं पार्थ ज्ञाने परिसमाप्यते ||४-३३||,śreyāndravyamayādyajñājjñānayajñaḥ parantapa .\nsarvaṃ karmākhilaṃ pārtha jñāne parisamāpyate ||4-33||,"O subduer of enemies, sacrifice performed in knowledge is superior to any mechanical material sacrifice. After all, O Parth, all sacrifices of work culminate in knowledge.",179
4,Jñāna Karm Sanyās Yog,4.34,तद्विद्धि प्रणिपातेन परिप्रश्नेन सेवया |\nउपदेक्ष्यन्ति ते ज्ञानं ज्ञानिनस्तत्त्वदर्शिनः ||४-३४||,tadviddhi praṇipātena paripraśnena sevayā .\nupadekṣyanti te jñānaṃ jñāninastattvadarśinaḥ ||4-34||,Learn the Truth by approaching a spiritual master. Inquire from him with reverence and render service unto him. Such an enlightened Saint can impart knowledge unto you because he has seen the Truth.,180
4,Jñāna Karm Sanyās Yog,4.35,यज्ज्ञात्वा न पुनर्मोहमेवं यास्यसि पाण्डव |\nयेन भूतान्यशेषेण द्रक्ष्यस्यात्मन्यथो मयि (var अशेषाणि) ||४-३५||,yajjñātvā na punarmohamevaṃ yāsyasi pāṇḍava .\nyena bhūtānyaśeṣāṇi drakṣyasyātmanyatho mayi ||4-35||,"Following this path and having achieved enlightenment from a Guru, O Arjun, you will no longer fall into delusion. In the light of that knowledge, you will see that all living beings are but parts of the Supreme, and are within Me.",181
4,Jñāna Karm Sanyās Yog,4.36,अपि चेदसि पापेभ्यः सर्वेभ्यः पापकृत्तमः |\nसर्वं ज्ञानप्लवेनैव वृजिनं सन्तरिष्यसि ||४-३६||,api cedasi pāpebhyaḥ sarvebhyaḥ pāpakṛttamaḥ .\nsarvaṃ jñānaplavenaiva vṛjinaṃ santariṣyasi ||4-36||,Even those who are considered the most immoral of all sinners can cross over this ocean of material existence by seating themselves in the boat of divine knowledge.,182
4,Jñāna Karm Sanyās Yog,4.37,यथैधांसि समिद्धोऽग्निर्भस्मसात्कुरुतेऽर्जुन |\nज्ञानाग्निः सर्वकर्माणि भस्मसात्कुरुते तथा ||४-३७||,yathaidhāṃsi samiddho.agnirbhasmasātkurute.arjuna .\njñānāgniḥ sarvakarmāṇi bhasmasātkurute tathā ||4-37||,"As a kindled fire reduces wood to ashes, O Arjun, so does the fire of knowledge burn to ashes all reactions from material activities.",183
4,Jñāna Karm Sanyās Yog,4.38,न हि ज्ञानेन सदृशं पवित्रमिह विद्यते |\nतत्स्वयं योगसंसिद्धः कालेनात्मनि विन्दति ||४-३८||,na hi jñānena sadṛśaṃ pavitramiha vidyate .\ntatsvayaṃ yogasaṃsiddhaḥ kālenātmani vindati ||4-38||,"In this world, there is nothing as purifying as divine knowledge. One who has attained purity of mind through prolonged practice of Yog, receives such knowledge within the heart, in due course of time.",184
4,Jñāna Karm Sanyās Yog,4.39,श्रद्धावाँल्लभते ज्ञानं तत्परः संयतेन्द्रियः |\nज्ञानं लब्ध्वा परां शान्तिमचिरेणाधिगच्छति ||४-३९||,śraddhāvā.Nllabhate jñānaṃ tatparaḥ saṃyatendriyaḥ .\njñānaṃ labdhvā parāṃ śāntimacireṇādhigacchati ||4-39||,"Those whose faith is deep and who have practiced controlling their mind and senses attain divine knowledge. Through such transcendental knowledge, they quickly attain everlasting supreme peace.",185
4,Jñāna Karm Sanyās Yog,4.40,अज्ञश्चाश्रद्दधानश्च संशयात्मा विनश्यति |\nनायं लोकोऽस्ति न परो न सुखं संशयात्मनः ||४-४०||,ajñaścāśraddadhānaśca saṃśayātmā vinaśyati .\nnāyaṃ loko.asti na paro na sukhaṃ saṃśayātmanaḥ ||4-40||,"But persons who possess neither faith nor knowledge, and who are of a doubting nature, suffer a downfall. For the skeptical souls, there is no happiness either in this world or the next.",186
4,Jñāna Karm Sanyās Yog,4.41,योगसंन्यस्तकर्माणं ज्ञानसञ्छिन्नसंशयम् |\nआत्मवन्तं न कर्माणि निबध्नन्ति धनञ्जय ||४-४१||,yogasaṃnyastakarmāṇaṃ jñānasañchinnasaṃśayam .\nātmavantaṃ na karmāṇi nibadhnanti dhanañjaya ||4-41||,"O Arjun, actions do not bind those who have renounced karm in the fire of Yog, whose doubts have been dispelled by knowledge, and who are situated in knowledge of the self.",187
4,Jñāna Karm Sanyās Yog,4.42,तस्मादज्ञानसम्भूतं हृत्स्थं ज्ञानासिनात्मनः |\nछित्त्वैनं संशयं योगमातिष्ठोत्तिष्ठ भारत ||४-४२||,tasmādajñānasambhūtaṃ hṛtsthaṃ jñānāsinātmanaḥ .\nchittvainaṃ saṃśayaṃ yogamātiṣṭhottiṣṭha bhārata ||4-42||,"Therefore, with the sword of knowledge, cut asunder the doubts that have arisen in your heart. O scion of Bharat, establish yourself in karm yog. Arise, stand up, and take action!",188
5,Karm Sanyās Yog,5.1,अर्जुन उवाच |\nसंन्यासं कर्मणां कृष्ण पुनर्योगं च शंससि |\nयच्छ्रेय एतयोरेकं तन्मे ब्रूहि सुनिश्चितम् ||५-१||,arjuna uvāca .\nsaṃnyāsaṃ karmaṇāṃ kṛṣṇa punaryogaṃ ca śaṃsasi .\nyacchreya etayorekaṃ tanme brūhi suniścitam ||5-1||,"Arjun said: O Shree Krishna, You praised karm sanyās  (the path of renunciation of actions), and You also advised to do karm yog (work with devotion).  Please tell me decisively which of the two is more beneficial?",189
5,Karm Sanyās Yog,5.2,श्रीभगवानुवाच |\nसंन्यासः कर्मयोगश्च निःश्रेयसकरावुभौ |\nतयोस्तु कर्मसंन्यासात्कर्मयोगो विशिष्यते ||५-२||,śrībhagavānuvāca .\nsaṃnyāsaḥ karmayogaśca niḥśreyasakarāvubhau .\ntayostu karmasaṃnyāsātkarmayogo viśiṣyate ||5-2||,The Supreme Lord said: Both the path of karm sanyās (renunciation of actions) and karm yog (working in devotion) lead to the supreme goal. But karm yog is superior to karm sanyās.,190
5,Karm Sanyās Yog,5.3,ज्ञेयः स नित्यसंन्यासी यो न द्वेष्टि न काङ्क्षति |\nनिर्द्वन्द्वो हि महाबाहो सुखं बन्धात्प्रमुच्यते ||५-३||,jñeyaḥ sa nityasaṃnyāsī yo na dveṣṭi na kāṅkṣati .\nnirdvandvo hi mahābāho sukhaṃ bandhātpramucyate ||5-3||,"The karm yogis, who neither desire nor hate anything, should be considered always renounced.  Free from all dualities, they are easily liberated from the bonds of material energy.",191
5,Karm Sanyās Yog,5.4,साङ्ख्ययोगौ पृथग्बालाः प्रवदन्ति न पण्डिताः |\nएकमप्यास्थितः सम्यगुभयोर्विन्दते फलम् ||५-४||,sāṅkhyayogau pṛthagbālāḥ pravadanti na paṇḍitāḥ .\nekamapyāsthitaḥ samyagubhayorvindate phalam ||5-4||,"Only the ignorant speak of sānkhya (renunciation of actions, or karm sanyās) and karm yog (work in devotion) as different.  Those who are truly learned say that by applying ourselves to any one of these paths, we can achieve the results of both.",192
5,Karm Sanyās Yog,5.5,यत्साङ्ख्यैः प्राप्यते स्थानं तद्योगैरपि गम्यते |\nएकं साङ्ख्यं च योगं च यः पश्यति स पश्यति ||५-५||,yatsāṅkhyaiḥ prāpyate sthānaṃ tadyogairapi gamyate .\nekaṃ sāṅkhyaṃ ca yogaṃ ca yaḥ paśyati sa paśyati ||5-5||,"The supreme state that is attained by means of karm sanyās is also attained by working in devotion. Hence, those who see karm sanyās and karm yog to be identical, truly see things as they are.",193
5,Karm Sanyās Yog,5.6,संन्यासस्तु महाबाहो दुःखमाप्तुमयोगतः |\nयोगयुक्तो मुनिर्ब्रह्म नचिरेणाधिगच्छति ||५-६||,saṃnyāsastu mahābāho duḥkhamāptumayogataḥ .\nyogayukto munirbrahma nacireṇādhigacchati ||5-6||,"Perfect renunciation (karm sanyās) is difficult to attain without performing work in devotion (karm yog), O mighty-armed Arjun, but the sage who is adept in karm yog quickly attains the Supreme.",194
5,Karm Sanyās Yog,5.7,योगयुक्तो विशुद्धात्मा विजितात्मा जितेन्द्रियः |\nसर्वभूतात्मभूतात्मा कुर्वन्नपि न लिप्यते ||५-७||,yogayukto viśuddhātmā vijitātmā jitendriyaḥ .\nsarvabhūtātmabhūtātmā kurvannapi na lipyate ||5-7||,"The karm yogis, who are of purified intellect, and who control the mind and senses, see the Soul of all souls in every living being.  Though performing all kinds of actions, they are never entangled.",195
5,Karm Sanyās Yog,5.8 – 5.9,नैव किञ्चित्करोमीति युक्तो मन्येत तत्त्ववित् |\nपश्यञ्शृण्वन्स्पृशञ्जिघ्रन्नश्नन्गच्छन्स्वपञ्श्वसन् ||५-८||\nप्रलपन्विसृजन्गृह्णन्नुन्मिषन्निमिषन्नपि |\nइन्द्रियाणीन्द्रियार्थेषु वर्तन्त इति धारयन् ||५-९||,naiva kiñcitkaromīti yukto manyeta tattvavit .\npaśyañśruṇvanspṛśañjighrannaśnangacchansvapañśvasan ||5-8||\npralapanvisṛjangṛhṇannunmiṣannimiṣannapi .\nindriyāṇīndriyārtheṣu vartanta iti dhārayan ||5-9||,"Those steadfast in karm yog, always think, “I am not the doer,” even while engaged in seeing, hearing, touching, smelling, moving, sleeping, breathing, speaking, excreting, grasping, and opening or closing the eyes. With the light of divine knowledge, they see that it is only the material senses that are moving amongst their objects.",196
5,Karm Sanyās Yog,5.10,ब्रह्मण्याधाय कर्माणि सङ्गं त्यक्त्वा करोति यः |\nलिप्यते न स पापेन पद्मपत्रमिवाम्भसा ||५-१०||,brahmaṇyādhāya karmāṇi saṅgaṃ tyaktvā karoti yaḥ .\nlipyate na sa pāpena padmapatramivāmbhasā ||5-10||,"Those who dedicate their actions to God, abandoning all attachment, remain untouched by sin, just as a lotus leaf is untouched by water.",197
5,Karm Sanyās Yog,5.11,कायेन मनसा बुद्ध्या केवलैरिन्द्रियैरपि |\nयोगिनः कर्म कुर्वन्ति सङ्गं त्यक्त्वात्मशुद्धये ||५-११||,kāyena manasā buddhyā kevalairindriyairapi .\nyoginaḥ karma kurvanti saṅgaṃ tyaktvātmaśuddhaye ||5-11||,"The yogis, while giving up attachment, perform actions with their body, senses, mind, and intellect, only for the purpose of self-purification.",198
5,Karm Sanyās Yog,5.12,युक्तः कर्मफलं त्यक्त्वा शान्तिमाप्नोति नैष्ठिकीम् |\nअयुक्तः कामकारेण फले सक्तो निबध्यते ||५-१२||,yuktaḥ karmaphalaṃ tyaktvā śāntimāpnoti naiṣṭhikīm .\nayuktaḥ kāmakāreṇa phale sakto nibadhyate ||5-12||,"Offering the results of all activities to God, the karm yogis attain everlasting peace.  Whereas those who, being impelled by their desires, work with a selfish motive become entangled because they are attached to the fruits of their actions.",199
5,Karm Sanyās Yog,5.13,सर्वकर्माणि मनसा संन्यस्यास्ते सुखं वशी |\nनवद्वारे पुरे देही नैव कुर्वन्न कारयन् ||५-१३||,sarvakarmāṇi manasā saṃnyasyāste sukhaṃ vaśī .\nnavadvāre pure dehī naiva kurvanna kārayan ||5-13||,The embodied beings who are self-controlled and detached reside happily in the city of nine gates free from thoughts that they are the doers or the cause of anything.,200
5,Karm Sanyās Yog,5.14,न कर्तृत्वं न कर्माणि लोकस्य सृजति प्रभुः |\nन कर्मफलसंयोगं स्वभावस्तु प्रवर्तते ||५-१४||,na kartṛtvaṃ na karmāṇi lokasya sṛjati prabhuḥ .\nna karmaphalasaṃyogaṃ svabhāvastu pravartate ||5-14||,Neither the sense of doership nor the nature of actions comes from God; nor does He create the fruits of actions.  All this is enacted by the modes of material nature (guṇas).,201
5,Karm Sanyās Yog,5.15,नादत्ते कस्यचित्पापं न चैव सुकृतं विभुः |\nअज्ञानेनावृतं ज्ञानं तेन मुह्यन्ति जन्तवः ||५-१५||,nādatte kasyacitpāpaṃ na caiva sukṛtaṃ vibhuḥ .\najñānenāvṛtaṃ jñānaṃ tena muhyanti jantavaḥ ||5-15||,The omnipresent God does not involve Himself in the sinful or virtuous deeds of anyone.  The living entities are deluded because their inner knowledge is covered by ignorance.,202
5,Karm Sanyās Yog,5.16,ज्ञानेन तु तदज्ञानं येषां नाशितमात्मनः |\nतेषामादित्यवज्ज्ञानं प्रकाशयति तत्परम् ||५-१६||,jñānena tu tadajñānaṃ yeṣāṃ nāśitamātmanaḥ .\nteṣāmādityavajjñānaṃ prakāśayati tatparam ||5-16||,"But for those whose ignorance is destroyed by divine knowledge, the Supreme Entity is revealed, just as the sun illumines everything when it rises.",203
5,Karm Sanyās Yog,5.17,तद्बुद्धयस्तदात्मानस्तन्निष्ठास्तत्परायणाः |\nगच्छन्त्यपुनरावृत्तिं ज्ञाननिर्धूतकल्मषाः ||५-१७||,tadbuddhayastadātmānastanniṣṭhāstatparāyaṇāḥ .\ngacchantyapunarāvṛttiṃ jñānanirdhūtakalmaṣāḥ ||5-17||,"Those whose intellect is fixed in God, who are completely absorbed in God, with firm faith in Him as the supreme goal, such persons quickly reach the state from which there is no return, their sins having been dispelled by the light of knowledge.",204
5,Karm Sanyās Yog,5.18,विद्याविनयसम्पन्ने ब्राह्मणे गवि हस्तिनि |\nशुनि चैव श्वपाके च पण्डिताः समदर्शिनः ||५-१८||,vidyāvinayasampanne brāhmaṇe gavi hastini .\nśuni caiva śvapāke ca paṇḍitāḥ samadarśinaḥ ||5-18||,"The truly learned, with the eyes of divine knowledge, see with equal vision a Brahmin, a cow, an elephant, a dog, and a dog-eater.",205
5,Karm Sanyās Yog,5.19,इहैव तैर्जितः सर्गो येषां साम्ये स्थितं मनः |\nनिर्दोषं हि समं ब्रह्म तस्माद् ब्रह्मणि ते स्थिताः ||५-१९||,ihaiva tairjitaḥ sargo yeṣāṃ sāmye sthitaṃ manaḥ .\nnirdoṣaṃ hi samaṃ brahma tasmād brahmaṇi te sthitāḥ ||5-19||,"Those whose minds are established in equality of vision conquer the cycle of birth and death in this very life.  They possess the flawless qualities of God, and are therefore seated in the Absolute Truth.",206
5,Karm Sanyās Yog,5.20,न प्रहृष्येत्प्रियं प्राप्य नोद्विजेत्प्राप्य चाप्रियम् |\nस्थिरबुद्धिरसम्मूढो ब्रह्मविद् ब्रह्मणि स्थितः ||५-२०||,na prahṛṣyetpriyaṃ prāpya nodvijetprāpya cāpriyam .\nsthirabuddhirasammūḍho brahmavid brahmaṇi sthitaḥ ||5-20||,"Established in God, having a firm understanding of divine knowledge and not hampered by delusion, they neither rejoice in getting something pleasant nor grieve on experiencing the unpleasant.",207
5,Karm Sanyās Yog,5.21,बाह्यस्पर्शेष्वसक्तात्मा विन्दत्यात्मनि यत्सुखम् |\nस ब्रह्मयोगयुक्तात्मा सुखमक्षयमश्नुते ||५-२१||,bāhyasparśeṣvasaktātmā vindatyātmani yatsukham .\nsa brahmayogayuktātmā sukhamakṣayamaśnute ||5-21||,"Those who are not attached to external sense pleasures realize divine bliss in the self.  Being united with God through Yog, they experience unending happiness.",208
5,Karm Sanyās Yog,5.22,ये हि संस्पर्शजा भोगा दुःखयोनय एव ते |\nआद्यन्तवन्तः कौन्तेय न तेषु रमते बुधः ||५-२२||,ye hi saṃsparśajā bhogā duḥkhayonaya eva te .\nādyantavantaḥ kaunteya na teṣu ramate budhaḥ ||5-22||,"The pleasures that arise from contact with the sense objects, though appearing as enjoyable to worldly-minded people, are verily a source of misery.  O son of Kunti, such pleasures have a beginning and an end, so the wise do not delight in them.",209
5,Karm Sanyās Yog,5.23,शक्नोतीहैव यः सोढुं प्राक्शरीरविमोक्षणात् |\nकामक्रोधोद्भवं वेगं स युक्तः स सुखी नरः ||५-२३||,śaknotīhaiva yaḥ soḍhuṃ prākśarīravimokṣaṇāt .\nkāmakrodhodbhavaṃ vegaṃ sa yuktaḥ sa sukhī naraḥ ||5-23||,"Those persons are yogis, who before giving up the body are able to check the forces of desire and anger; and they alone are happy.",210
5,Karm Sanyās Yog,5.24,योऽन्तःसुखोऽन्तरारामस्तथान्तर्ज्योतिरेव यः |\nस योगी ब्रह्मनिर्वाणं ब्रह्मभूतोऽधिगच्छति ||५-२४||,yo.antaḥsukho.antarārāmastathāntarjyotireva yaḥ .\nsa yogī brahmanirvāṇaṃ brahmabhūto.adhigacchati ||5-24||,"Those who are happy within themselves, enjoying the delight of God within, and are illumined by the inner light, such yogis are united with the Lord and are liberated from material existence.",211
5,Karm Sanyās Yog,5.25,लभन्ते ब्रह्मनिर्वाणमृषयः क्षीणकल्मषाः |\nछिन्नद्वैधा यतात्मानः सर्वभूतहिते रताः ||५-२५||,labhante brahmanirvāṇamṛṣayaḥ kṣīṇakalmaṣāḥ .\nchinnadvaidhā yatātmānaḥ sarvabhūtahite ratāḥ ||5-25||,"Those holy persons, whose sins have been purged, whose doubts are annihilated, whose minds are disciplined, and who are devoted to the welfare of all beings, attain God and are liberated from material existence.",212
5,Karm Sanyās Yog,5.26,कामक्रोधवियुक्तानां यतीनां यतचेतसाम् |\nअभितो ब्रह्मनिर्वाणं वर्तते विदितात्मनाम् ||५-२६||,kāmakrodhaviyuktānāṃ yatīnāṃ yatacetasām .\nabhito brahmanirvāṇaṃ vartate viditātmanām ||5-26||,"For those sanyāsīs, who have broken out of anger and lust through constant effort, who have subdued their mind, and are self-realized, liberation from material existence is both here and hereafter.",213
5,Karm Sanyās Yog,5.27 – 5.28,स्पर्शान्कृत्वा बहिर्बाह्यांश्चक्षुश्चैवान्तरे भ्रुवोः |\nप्राणापानौ समौ कृत्वा नासाभ्यन्तरचारिणौ ||५-२७||\nयतेन्द्रियमनोबुद्धिर्मुनिर्मोक्षपरायणः |\nविगतेच्छाभयक्रोधो यः सदा मुक्त एव सः ||५-२८||,sparśānkṛtvā bahirbāhyāṃścakṣuścaivāntare bhruvoḥ .\nprāṇāpānau samau kṛtvā nāsābhyantaracāriṇau ||5-27||\nyatendriyamanobuddhirmunirmokṣaparāyaṇaḥ .\nvigatecchābhayakrodho yaḥ sadā mukta eva saḥ ||5-28||,"Shutting out all thoughts of external enjoyment, with the gaze fixed on the space between the eye-brows, equalizing the flow of the incoming and outgoing breath in the nostrils, and thus controlling the senses, mind, and intellect, the sage who becomes free from desire and fear, always lives in freedom.",214
5,Karm Sanyās Yog,5.29,भोक्तारं यज्ञतपसां सर्वलोकमहेश्वरम् |\nसुहृदं सर्वभूतानां ज्ञात्वा मां शान्तिमृच्छति ||५-२९||,bhoktāraṃ yajñatapasāṃ sarvalokamaheśvaram .\nsuhṛdaṃ sarvabhūtānāṃ jñātvā māṃ śāntimṛcchati ||5-29||,"Having realized Me as the enjoyer of all sacrifices and austerities, the Supreme Lord of all the worlds and the selfless friend of all living beings, My devotee attains peace.",215
6,Dhyān Yog,6.1,श्रीभगवानुवाच |\nअनाश्रितः कर्मफलं कार्यं कर्म करोति यः |\nस संन्यासी च योगी च न निरग्निर्न चाक्रियः ||६-१||,śrībhagavānuvāca .\nanāśritaḥ karmaphalaṃ kāryaṃ karma karoti yaḥ .\nsa saṃnyāsī ca yogī ca na niragnirna cākriyaḥ ||6-1||,"The Supreme Lord said: Those who perform prescribed duties without desiring the results of their actions are actual sanyāsīs (renunciates) and yogis, not those who have merely ceased performing sacrifices such as Agnihotra yajna or abandoned bodily activities.",216
6,Dhyān Yog,6.2,यं संन्यासमिति प्राहुर्योगं तं विद्धि पाण्डव |\nन ह्यसंन्यस्तसङ्कल्पो योगी भवति कश्चन ||६-२||,yaṃ saṃnyāsamiti prāhuryogaṃ taṃ viddhi pāṇḍava .\nna hyasaṃnyastasaṅkalpo yogī bhavati kaścana ||6-2||,"What is known as sanyās is non-different from Yog, for none become yogis without renouncing worldly desires.",217
6,Dhyān Yog,6.3,आरुरुक्षोर्मुनेर्योगं कर्म कारणमुच्यते |\nयोगारूढस्य तस्यैव शमः कारणमुच्यते ||६-३||,ārurukṣormuneryogaṃ karma kāraṇamucyate .\nyogārūḍhasya tasyaiva śamaḥ kāraṇamucyate ||6-3||,"To the soul who is aspiring for perfection in Yog, work without attachment is said to be the means; to the sage who is already elevated in Yog, tranquility in meditation is said to be the means.",218
6,Dhyān Yog,6.4,यदा हि नेन्द्रियार्थेषु न कर्मस्वनुषज्जते |\nसर्वसङ्कल्पसंन्यासी योगारूढस्तदोच्यते ||६-४||,yadā hi nendriyārtheṣu na karmasvanuṣajjate .\nsarvasaṅkalpasaṃnyāsī yogārūḍhastadocyate ||6-4||,"When one is neither attached to sense objects nor to actions, such a person is said to be elevated in the science of Yog, having renounced all desires for the fruits of actions.",219
6,Dhyān Yog,6.5,उद्धरेदात्मनात्मानं नात्मानमवसादयेत् |\nआत्मैव ह्यात्मनो बन्धुरात्मैव रिपुरात्मनः ||६-५||,uddharedātmanātmānaṃ nātmānamavasādayet .\nātmaiva hyātmano bandhurātmaiva ripurātmanaḥ ||6-5||,"Elevate yourself through the power of your mind, and not degrade yourself, for the mind can be the friend and also the enemy of the self.",220
6,Dhyān Yog,6.6,बन्धुरात्मात्मनस्तस्य येनात्मैवात्मना जितः |\nअनात्मनस्तु शत्रुत्वे वर्तेतात्मैव शत्रुवत् ||६-६||,bandhurātmātmanastasya yenātmaivātmanā jitaḥ .\nanātmanastu śatrutve vartetātmaiva śatruvat ||6-6||,"For those who have conquered the mind, it is their friend. For those who have failed to do so, the mind works like an enemy.",221
6,Dhyān Yog,6.7,जितात्मनः प्रशान्तस्य परमात्मा समाहितः |\nशीतोष्णसुखदुःखेषु तथा मानापमानयोः ||६-७||,jitātmanaḥ praśāntasya paramātmā samāhitaḥ .\nśītoṣṇasukhaduḥkheṣu tathā mānāpamānayoḥ ||6-7||,"The yogis who have conquered the mind rise above the dualities of cold and heat, joy and sorrow, and honor and dishonor. Such yogis remain peaceful and steadfast in their devotion to God.",222
6,Dhyān Yog,6.8,ज्ञानविज्ञानतृप्तात्मा कूटस्थो विजितेन्द्रियः |\nयुक्त इत्युच्यते योगी समलोष्टाश्मकाञ्चनः ||६-८||,jñānavijñānatṛptātmā kūṭastho vijitendriyaḥ .\nyukta ityucyate yogī samaloṣṭāśmakāñcanaḥ ||6-8||,"The yogi who are satisfied by knowledge and discrimination, and have conquered their senses, remain undisturbed in all circumstances. They see everything—dirt, stones, and gold—as the same.",223
6,Dhyān Yog,6.9,सुहृन्मित्रार्युदासीनमध्यस्थद्वेष्यबन्धुषु |\nसाधुष्वपि च पापेषु समबुद्धिर्विशिष्यते ||६-९||,suhṛnmitrāryudāsīnamadhyasthadveṣyabandhuṣu .\nsādhuṣvapi ca pāpeṣu samabuddhirviśiṣyate ||6-9||,"The yogis look upon all—well-wishers, friends, foes, the pious, and the sinners—with an impartial intellect. The yogi who is of equal intellect toward friend, companion, and foe, neutral among enemies and relatives, and unbiased between the righteous and sinful, is considered to be distinguished among humans.",224
6,Dhyān Yog,6.10,योगी युञ्जीत सततमात्मानं रहसि स्थितः |\nएकाकी यतचित्तात्मा निराशीरपरिग्रहः ||६-१०||,yogī yuñjīta satatamātmānaṃ rahasi sthitaḥ .\nekākī yatacittātmā nirāśīraparigrahaḥ ||6-10||,"Those who seek the state of Yog should reside in seclusion, constantly engaged in meditation with a controlled mind and body, getting rid of desires and possessions for enjoyment.",225
6,Dhyān Yog,6.11,शुचौ देशे प्रतिष्ठाप्य स्थिरमासनमात्मनः |\nनात्युच्छ्रितं नातिनीचं चैलाजिनकुशोत्तरम् ||६-११||,śucau deśe pratiṣṭhāpya sthiramāsanamātmanaḥ .\nnātyucchritaṃ nātinīcaṃ cailājinakuśottaram ||6-11||,"To practice Yog, one should make an āsan (seat) in a sanctified place, by placing Kuśh grass, deer skin, and a cloth, one over the other. The āsan should be neither too high nor too low.",226
6,Dhyān Yog,6.12 – 6.13,तत्रैकाग्रं मनः कृत्वा यतचित्तेन्द्रियक्रियः |\nउपविश्यासने युञ्ज्याद्योगमात्मविशुद्धये ||६-१२||\nसमं कायशिरोग्रीवं धारयन्नचलं स्थिरः |\nसम्प्रेक्ष्य नासिकाग्रं स्वं दिशश्चानवलोकयन् ||६-१३||,tatraikāgraṃ manaḥ kṛtvā yatacittendriyakriyaḥ .\nupaviśyāsane yuñjyādyogamātmaviśuddhaye ||6-12||\nsamaṃ kāyaśirogrīvaṃ dhārayannacalaṃ sthiraḥ .\nsamprekṣya nāsikāgraṃ svaṃ diśaścānavalokayan ||6-13||,"Seated firmly on it, the yogi should strive to purify the mind by focusing it in meditation with one pointed concentration, controlling all thoughts and activities. He must hold the body, neck, and head firmly in a straight line, and gaze at the tip of the nose, without allowing the eyes to wander.",227
6,Dhyān Yog,6.14,प्रशान्तात्मा विगतभीर्ब्रह्मचारिव्रते स्थितः |\nमनः संयम्य मच्चित्तो युक्त आसीत मत्परः ||६-१४||,praśāntātmā vigatabhīrbrahmacārivrate sthitaḥ .\nmanaḥ saṃyamya maccitto yukta āsīta matparaḥ ||6-14||,"Thus, with a serene, fearless, and unwavering mind, and staunch in the vow of celibacy, the vigilant yogi should meditate on Me, having Me alone as the supreme goal.",228
6,Dhyān Yog,6.15,युञ्जन्नेवं सदात्मानं योगी नियतमानसः |\nशान्तिं निर्वाणपरमां मत्संस्थामधिगच्छति ||६-१५||,yuñjannevaṃ sadātmānaṃ yogī niyatamānasaḥ .\nśāntiṃ nirvāṇaparamāṃ matsaṃsthāmadhigacchati ||6-15||,"Thus, constantly keeping the mind absorbed in Me, the yogi of disciplined mind attains nirvāṇ, and abides in Me in supreme peace.",229
6,Dhyān Yog,6.16,नात्यश्नतस्तु योगोऽस्ति न चैकान्तमनश्नतः |\nन चातिस्वप्नशीलस्य जाग्रतो नैव चार्जुन ||६-१६||,nātyaśnatastu yogo.asti na caikāntamanaśnataḥ .\nna cātisvapnaśīlasya jāgrato naiva cārjuna ||6-16||,"O Arjun, those who eat too much or too little, sleep too much or too little, cannot attain success in Yog.",230
6,Dhyān Yog,6.17,युक्ताहारविहारस्य युक्तचेष्टस्य कर्मसु |\nयुक्तस्वप्नावबोधस्य योगो भवति दुःखहा ||६-१७||,yuktāhāravihārasya yuktaceṣṭasya karmasu .\nyuktasvapnāvabodhasya yogo bhavati duḥkhahā ||6-17||,"But those who are temperate in eating and recreation, balanced in work, and regulated in sleep, can mitigate all sorrows by practicing Yog.",231
6,Dhyān Yog,6.18,यदा विनियतं चित्तमात्मन्येवावतिष्ठते |\nनिःस्पृहः सर्वकामेभ्यो युक्त इत्युच्यते तदा ||६-१८||,yadā viniyataṃ cittamātmanyevāvatiṣṭhate .\nniḥspṛhaḥ sarvakāmebhyo yukta ityucyate tadā ||6-18||,"With thorough discipline, they learn to withdraw the mind from selfish cravings and rivet it on the unsurpassable good of the self. Such persons are said to be in Yog, and are free from all yearning of the senses.",232
6,Dhyān Yog,6.19,यथा दीपो निवातस्थो नेङ्गते सोपमा स्मृता |\nयोगिनो यतचित्तस्य युञ्जतो योगमात्मनः ||६-१९||,yathā dīpo nivātastho neṅgate sopamā smṛtā .\nyogino yatacittasya yuñjato yogamātmanaḥ ||6-19||,"Just as a lamp in a windless place does not flicker, so the disciplined mind of a yogi remains steady in meditation on the Supreme.",233
